Year,Police Service,City,Province,Investigation Final Decision
2017,Peel Regional Police,Mississauga,Ontario,"I find, therefore, on this record, that the three shots that were fired by the SO, which struck and killed the Complainant, were justified pursuant to ss.25 (1) and (3) of the Criminal Code and that the SO, in preserving both himself and WO #3, WO #2, and WO #4, from death or grievous bodily harm from the Complainant, used no more force than was necessary to effect his lawful purpose. As such, I am therefore satisfied on reasonable grounds on this record that the actions exercised by the SO, despite the tragic loss of life, fell within the limits prescribed by the criminal law and there are no grounds for proceeding with criminal charges in this case."
2017,Ottawa Police Service,Ottawa,Ontario,"In conclusion, on the evidence before me, I find that I lack the reasonable grounds upon which I can be satisfied that the SO’s driving conduct amounted to a criminal offence and therefore no charges shall issue."
2017,Toronto Police Service,Toronto,Ontario,"In conclusion, I find that the evidence is insufficient to satisfy me that there are reasonable grounds to believe that the SO, or any other police officer involved in the arrest of the Complainant, resorted to an excessive use of force in these circumstances and I therefore lack the grounds to lay criminal charges and none shall issue."
2017,Cobourg Police Service,,Ontario,criminal law and instead find there are no grounds for proceeding with criminal charges in this case.
2018,Ontario Provincial Police,Bruce,Ontario,"In sum, while it is clear that the SO’s left turn created a risk of danger which had very significant consequencesfootnote 8[8], there is simply insufficient evidence that the SO’s driving meets the high threshold required to find a marked departure from the standard of care. I am therefore unable to form grounds to believe the SO committed a criminal offence in relation to the collision and the file will be closed."
2017,York Regional Police,Dufferin,Ontario,"I find, therefore, on this record, that the lethal force which took the life of the Complainant was justified pursuant to s. 25(1) and (3) of the Criminal Code and that the four subject officers, in acting to preserve the lives of the many, at the cost of the life of the Complainant, used no more force than was necessary to affect this lawful purpose. As such, I lack the reasonable grounds to believe that the actions exercised by any of the four subject officers fell outside the limits prescribed by the criminal law and instead find there are no grounds for proceeding with criminal charges in this case and none will issue."
2017,Niagara Regional Police Service,James,Ontario,"In conclusion, I find on the reliable evidence before me that there is no evidence that any excessive use of force was resorted to by any police officer in apprehending and arresting the Complainant, and that the force used was both reasonable and proportionate given the Complainant’s aggressive resistance to the arrest. As such, I find that these facts do not leave me with reasonable grounds to believe that a criminal offence occurred here and no charges will issue."
2017,Waterloo Regional Police Service,,Ontario,"As I find that there is no basis to hold either of the two subject officers responsible for the catastrophic outcome of the motor vehicle collision, I further find that there is insufficient evidence to form reasonable grounds to believe that a criminal offence has been committed. Accordingly, no charges will issue."
2017,Toronto Police Service,Emo,Ontario,"sustained, I find that there are no reasonable grounds upon which to lay criminal charges and none shall issue."
2017,York Regional Police,St. Catharines,Ontario,"I am, therefore, satisfied on reasonable grounds on this record that the actions exercised by the officers fell within the limits prescribed by the criminal law and that there are no grounds for proceeding with charges in this case."
2017,North Bay Police Service,North Bay,Ontario,"In the final analysis, I am satisfied for the foregoing reasons that the Complainant’s detention, and the manner in which it was carried out, were lawful notwithstanding the injury which she may have suffered, even were I to find that the officers caused an injury, which I am not inclined to do. I am, therefore, satisfied on reasonable grounds on this record that the actions exercised by the officers fell within the limits prescribed by the criminal law and there are no grounds for proceeding with charges in this case."
2017,Toronto Police Service,,Ontario,"In sum, although significant force was used against the Complainant during his arrest, the force in these circumstances was lawful pursuant to s. 25(1) of the Criminal Code. Therefore, I have no reasonable grounds to believe that SO #1 or SO #2, or any other TPS officer, committed a criminal offence in relation to the allegation and no charges will issue."
